17,0
18,0
58,0
106,0
138,0
181,0
185,0
264,0
294,0
323,0
361,0
363,0
443,0
487,0
551,0
562,0
588,0
612,0
619,0
663,0
669,0
681,0
700,0
718,0
721,0
757,0
800,0
823,0
866,0
875,0
964,0
1002,0
1061,2
1106,2
1118,2
1131,2
1168,0
1176,0
1181,0
1196,0
1204,0
1236,0
1239,0
1353,0
1368,0
1401,0
1416,0
1419,0
1440,0
1461,0
1476,0
1477,0
1496,0
1498,0
1502,0
1509,0
1566,0
1608,0
1612,0
1662,2
1703,0
1717,0
1719,0
1779,0
1785,0
1788,0
1848,0
1860,0
1892,0
1938,0
1976,0
2015,0
2030,0
2044,0
2069,0
2070,0
2115,0
2126,0
2127,0
2130,0
2141,0
2159,0
2176,0
2202,0
2219,0
2284,0
2347,0
2364,0
2435,0
2451,0
2456,0
2469,0
2549,0
2556,0
2575,0
2609,0
2616,0
2617,0
2631,0
2668,0
