40,0
73,0
99,1
121,0
132,0
133,0
142,0
199,0
207,0
283,0
299,0
325,1
348,0
445,0
481,0
492,0
548,0
568,0
594,0
599,0
613,0
648,0
693,0
711,0
735,0
758,2
819,0
837,0
859,0
915,2
927,0
965,0
994,0
998,0
1006,0
1017,0
1041,0
1043,0
1065,0
1089,0
1113,2
1127,2
1163,0
1192,0
1312,1
1356,0
1398,0
1421,0
1468,0
1504,0
1508,0
1519,0
1528,0
1548,0
1599,1
1611,1
1628,1
1652,1
1675,1
1698,1
1725,2
1728,2
1744,0
1752,0
1769,0
1804,1
1805,1
1820,0
1832,1
1847,0
1848,0
1880,0
1939,2
1944,2
1950,0
1998,1
2040,1
2051,1
2114,0
2118,0
2128,0
2171,0
2175,0
2219,0
2273,0
2281,2
2292,2
2329,0
2333,0
2343,0
2409,0
2422,0
2509,0
2516,0
2549,1
2572,0
2605,0
2620,0
2641,0
2681,0
